Name,Rarity,Slot,Outfit,Labels,Source,Style,Banner
Blooming Pact,5,Hair,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Evening Banquet,5,Hair,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Firefly Brilliance,5,Hair,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Silver Shimmer,5,Hair,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Morning Sunlight,5,Hair,Fairytale Swan,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Moonlit Chords,5,Hair,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Flame's Embers,5,Hair,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Moonlit Glide,5,Hair,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Sexy,Distant Sea
Fluttermist Isle,5,Hair,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Windborne Realm,5,Hair,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Cursed Storm,5,Hair,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Etched by the Wind,5,Hair,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Starry Splendor,5,Dress,Blossoming Stars,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Ethereal Dreamland,5,Dress,Blossoming Stars: Dreamfall,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Eternal Radiance,5,Dress,Blossoming Stars: Radiance,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Rustling Stars,5,Dress,Blossoming Stars: Starlight,"Romance, Pastoral",Resonance from the Distant Sea,Fresh,Distant Sea
Blooming Grace,5,Dress,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Lake of Tears,5,Dress,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Swan's Heartfire,5,Dress,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Beyond the Stars,5,Dress,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Fluttering Twist,5,Dress,Flutter Storm,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Winged Illusions,5,Dress,Flutter Storm: Dream Chant,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Embers of the Butterfly,5,Dress,Flutter Storm: Flame Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Silent Woodland,5,Dress,Flutter Storm: Forest Song,Romance,Resonance from the Distant Sea,Sexy,Butterfly Dream
Fluttering Wishes,5,Dress,,Royal,A classic clothing piece from Marques Boutique.,Elegant,
Raging Rockling,5,Top,,Playful,Treasure guarded by Esselings.,Cool,
Imminent Bloom,5,Socks,Blossoming Stars,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Long Dreaming,5,Socks,Blossoming Stars: Dreamfall,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Starry Tread,5,Socks,Blossoming Stars: Radiance,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Misty Silhouette,5,Socks,Blossoming Stars: Starlight,Romance,Resonance from the Distant Sea,Fresh,Distant Sea
Interwoven with Love,5,Socks,Fairytale Swan,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Shadow Pacing,5,Socks,Fairytale Swan: Dream,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Through the Flames,5,Socks,Fairytale Swan: Mystfire,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
Plumes of Aurora,5,Socks,Fairytale Swan: Truth,Formal,Resonance from the Distant Sea,Elegant,Distant Sea
